,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,25,45.96,0,23,5,12,.417,3,4,.750,4,4,1.000,1,0,1,1,2,0,3,3,17,9.8,-1
1,2,2018,25,33.99,0,22,7,12,.583,2,5,.400,0,0,,2,1,3,1,0,1,1,3,16,11.3,-16
2,3,2018,25,41.19,0,24,12,17,.706,3,5,.600,0,0,,1,3,4,3,2,1,0,1,27,25.9,-9
3,4,2018,25,40.71,0,28,3,8,.375,1,2,.500,3,4,.750,1,2,3,1,0,0,3,1,10,3.8,-6
4,5,2018,25,25.25,0,18,1,4,.250,0,2,.000,1,1,1.000,0,3,3,1,0,1,0,1,3,2.5,-15
5,6,2018,25,9.96,0,21,8,17,.471,2,5,.400,0,0,,3,5,8,0,0,1,0,2,18,12.8,-2
6,7,2018,25,50.25,1,35,8,16,.500,1,2,.500,4,4,1.000,0,3,3,3,0,1,1,2,21,14.9,-15
7,8,2018,25,23.72,1,22,3,9,.333,0,1,.000,4,6,.667,0,4,4,2,0,0,4,4,10,1.1,+4
8,9,2018,25,39.57,0,13,0,5,.000,0,0,,0,0,,0,3,3,0,1,0,0,2,0,-2.4,-7
9,10,2018,25,18.05,1,41,9,17,.529,3,4,.750,8,8,1.000,1,6,7,1,1,1,0,2,29,24.8,+1
10,11,2018,25,57.78,1,36,7,16,.438,4,10,.400,7,7,1.000,1,4,5,1,1,3,1,5,25,19.3,-12
11,12,2018,25,9.96,1,40,10,14,.714,1,2,.500,0,0,,0,6,6,0,2,1,1,0,21,18.7,-20
12,13,2018,25,50.25,1,37,10,17,.588,3,8,.375,4,4,1.000,0,4,4,2,3,0,0,4,27,23.1,+24
13,14,2018,25,9.96,1,40,10,19,.526,2,4,.500,1,2,.500,1,4,5,1,1,1,2,3,23,14.4,-8
14,15,2018,25,33.18,1,39,8,15,.533,2,4,.500,3,4,.750,1,3,4,4,0,1,2,5,21,14.4,-1
15,16,2018,25,66.51,1,32,8,15,.533,2,4,.500,3,3,1.000,0,4,4,1,0,1,1,2,21,14.5,-6
16,17,2018,25,0.01,1,31,8,13,.615,2,4,.500,1,2,.500,1,4,5,2,1,1,0,5,19,15.7,+2
17,18,2018,25,33.26,1,14,3,8,.375,0,2,.000,0,0,,0,2,2,0,2,0,1,3,6,2.0,-4
18,19,2018,25,7.78,1,38,11,20,.550,2,6,.333,1,2,.500,1,6,7,0,1,1,0,3,25,18.0,+7
19,20,2018,25,52.19,1,33,6,14,.429,3,6,.500,0,1,.000,0,1,1,2,2,1,2,1,15,9.2,-17
20,21,2018,25,52.19,1,12,3,6,.500,0,1,.000,0,0,,0,1,1,0,0,1,1,2,6,2.2,-9
21,22,2018,25,50.25,1,24,9,16,.563,1,5,.200,4,4,1.000,2,4,6,2,0,0,1,3,23,17.2,-5
22,23,2018,25,45.96,1,35,11,17,.647,3,4,.750,5,6,.833,1,2,3,3,0,0,2,5,30,21.5,+7
23,24,2018,25,63.2,1,32,8,19,.421,3,6,.500,2,2,1.000,1,4,5,1,1,1,0,5,21,13.2,+8
24,25,2018,25,68.29,1,39,11,18,.611,4,8,.500,0,0,,0,5,5,1,3,2,1,1,26,23.0,+25
25,26,2018,25,18.05,1,36,7,20,.350,1,4,.250,6,6,1.000,3,2,5,1,2,0,2,4,21,11.6,-3
26,27,2018,25,69.91,1,53,9,18,.500,3,6,.500,7,12,.583,1,7,8,4,2,2,1,3,28,23.8,-12
27,28,2018,25,39.57,1,29,2,11,.182,0,4,.000,0,0,,0,4,4,3,1,0,1,4,4,-1.2,-4
28,29,2018,25,24.36,1,36,9,18,.500,3,5,.600,3,4,.750,2,2,4,0,2,0,2,3,24,15.4,-3
29,30,2018,25,9.96,1,31,8,15,.533,3,6,.500,0,0,,0,2,2,0,0,0,3,3,19,8.1,-7
30,31,2018,25,33.99,1,40,9,18,.500,3,8,.375,1,2,.500,0,3,3,3,5,1,3,3,22,17.1,+11
31,32,2018,25,41.19,1,34,8,17,.471,2,5,.400,6,6,1.000,0,4,4,4,1,0,0,2,24,19.5,-25
32,33,2019,25,33.18,1,20,2,8,.250,1,3,.333,2,3,.667,0,2,2,0,0,0,0,5,7,0.4,-14
33,34,2019,25,52.19,1,29,8,14,.571,2,3,.667,2,2,1.000,0,2,2,2,4,0,2,4,20,15.8,-8
34,35,2019,25,56.56,1,37,9,17,.529,3,6,.500,2,2,1.000,1,4,5,5,2,1,1,5,23,19.8,-3
35,36,2019,25,45.48,1,35,9,19,.474,1,4,.250,2,3,.667,1,3,4,1,1,0,1,2,21,12.4,+6
36,37,2019,25,45.96,1,38,7,20,.350,2,6,.333,4,7,.571,1,6,7,1,0,0,2,2,20,8.0,-7
37,38,2019,25,33.99,1,35,4,12,.333,1,4,.250,0,0,,1,3,4,3,2,1,0,2,9,7.8,-5
38,39,2019,25,7.78,1,30,7,15,.467,1,2,.500,3,3,1.000,0,4,4,1,1,0,1,3,18,11.0,-38
39,40,2019,25,23.72,1,40,5,16,.313,1,4,.250,0,0,,1,5,6,0,2,2,1,1,11,6.0,-6
40,41,2019,25,56.56,1,33,6,12,.500,1,1,1.000,3,4,.750,0,3,3,0,1,2,2,2,16,10.1,-8
41,42,2019,25,63.2,1,37,7,15,.467,2,5,.400,5,6,.833,2,2,4,1,2,0,2,3,21,14.4,-10
42,43,2019,25,63.2,1,16,2,2,1.000,0,0,,0,0,,0,1,1,2,0,0,1,0,4,4.1,-14
