,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,23,89.27,1,29,5,10,.500,0,2,.000,4,6,.667,0,2,2,3,0,0,2,4,14,7.3,+7
1,2,2015,23,74.1,1,28,10,15,.667,2,3,.667,0,0,,0,4,4,0,1,1,2,1,22,16.0,-16
2,3,2015,23,61.72,1,30,2,8,.250,1,4,.250,2,2,1.000,0,0,0,3,1,2,1,2,7,4.9,-13
3,4,2015,23,77.21,1,37,12,19,.632,4,6,.667,2,3,.667,1,2,3,2,1,0,0,2,30,24.0,-9
4,5,2015,23,93.78,1,32,6,12,.500,1,4,.250,3,4,.750,1,1,2,3,2,0,3,2,16,10.9,+3
5,6,2015,23,69.12,1,28,4,13,.308,2,3,.667,0,0,,0,2,2,1,1,0,2,0,10,2.8,-5
6,7,2015,23,45.07,1,30,6,16,.375,0,2,.000,0,0,,1,1,2,0,2,0,3,1,12,2.8,-17
7,8,2015,23,61.64,1,25,2,7,.286,0,2,.000,0,0,,1,1,2,5,0,0,2,0,4,2.4,-4
8,9,2015,23,61.72,1,30,9,18,.500,3,5,.600,0,0,,2,2,4,1,3,1,0,2,21,17.6,+4
9,10,2015,23,51.68,1,29,5,10,.500,2,4,.500,5,8,.625,0,6,6,3,0,0,5,4,17,8.1,0
10,11,2015,23,79.78,1,33,6,12,.500,2,3,.667,6,6,1.000,1,1,2,1,0,0,0,2,20,14.9,-11
11,12,2015,23,51.45,1,32,6,13,.462,1,3,.333,0,0,,0,4,4,3,1,0,2,1,13,8.2,+12
12,13,2015,23,70.98,1,35,8,14,.571,3,5,.600,0,0,,2,2,4,1,0,0,3,1,19,11.7,-5
13,14,2015,23,37.13,1,26,2,11,.182,0,3,.000,0,0,,2,0,2,2,0,0,2,1,4,-2.5,-25
14,15,2015,23,70.98,1,36,8,15,.533,2,5,.400,1,2,.500,0,3,3,4,4,0,2,1,19,16.6,0
