,+/-,3P,3PA,3P_Perc,AST,Age,BLK,DRB,Date,FG,FGA,FG_Perc,FT,FTA,FT_Perc,G,GS,GmSc,MP,ORB,Opp,PF,PTS,STL,TOV,TRB
0,-18,0,1,.000,0,21,0,1,2016,2,4,.500,1,1,1.000,1,0,3.2,8,1,76.15,2,5,0,0,2
1,-3,0,1,.000,2,21,0,0,2016,1,2,.500,2,2,1.000,2,0,3.4,21,0,100.01,0,4,0,1,0
2,-5,0,1,.000,2,21,0,2,2016,3,6,.500,4,4,1.000,3,0,9.2,25,0,48.9,2,10,1,0,2
3,+11,0,1,.000,2,21,4,3,2016,1,2,.500,2,3,.667,4,0,3.9,13,0,0.01,2,4,0,3,3
4,-13,2,2,1.000,0,21,0,1,2016,4,6,.667,0,0,,5,0,6.2,19,1,53.97,3,10,0,1,2
5,-20,1,3,.333,2,21,0,6,2016,3,9,.333,0,0,,6,0,4.4,28,1,0.01,1,7,0,1,7
6,-5,0,1,.000,2,21,0,0,2016,0,1,.000,0,0,,7,0,0.7,10,0,85.54,0,0,0,0,0
7,+13,3,4,.750,0,21,1,1,2016,4,6,.667,0,0,,8,0,8.5,19,1,58.72,4,11,0,0,2
8,-11,1,3,.333,5,21,0,1,2016,2,4,.500,1,2,.500,9,0,5.2,23,0,53.44,3,6,0,1,1
9,+3,0,4,.000,2,21,0,3,2016,2,8,.250,0,0,,10,1,-2.8,22,1,72.45,5,4,0,3,4
10,+7,2,4,.500,2,21,0,2,2016,3,10,.300,2,2,1.000,11,1,6.9,28,1,35.91,0,10,1,1,3
11,+2,0,3,.000,2,21,0,2,2016,4,9,.444,1,2,.500,12,1,4.0,30,1,38.45,4,9,0,1,3
12,+3,2,5,.400,2,21,0,3,2016,5,12,.417,2,2,1.000,13,1,10.8,34,1,36.65,2,14,1,0,4
13,-15,1,3,.333,1,21,0,1,2016,4,11,.364,1,2,.500,14,1,1.9,27,0,60.31,4,10,0,1,1
14,-14,0,5,.000,2,21,0,2,2016,5,11,.455,0,0,,15,1,6.9,35,4,96.95,3,10,0,1,6
15,-3,0,1,.000,0,21,0,0,2016,0,1,.000,0,0,,16,0,-1.7,8,0,96.95,0,0,0,1,0
16,-4,0,1,.000,1,21,1,0,2016,0,2,.000,0,0,,17,0,0.6,5,0,24.19,1,0,1,0,0
17,-10,0,2,.000,0,21,0,2,2016,1,4,.250,0,0,,18,0,-0.3,8,1,60.31,3,2,0,0,3
18,-6,1,4,.250,2,21,1,1,2016,1,6,.167,2,2,1.000,19,1,-0.5,18,1,35.91,2,5,0,4,2
19,+1,0,3,.000,2,21,0,2,2016,3,7,.429,4,4,1.000,20,1,7.9,22,0,96.95,1,10,0,0,2
20,+8,2,2,1.000,1,21,0,0,2016,4,5,.800,0,0,,21,1,5.8,17,0,100.01,5,10,0,1,0
21,0,1,2,.500,1,21,1,3,2016,3,5,.600,0,0,,22,1,3.0,16,0,90.19,5,7,0,2,3
22,0,0,5,.000,5,21,0,2,2016,1,11,.091,0,0,,23,1,-3.1,36,1,3.39,4,2,0,1,3
23,-3,1,1,1.000,2,21,0,2,2016,2,5,.400,0,0,,24,1,3.9,21,0,83.75,1,5,2,2,2
24,0,1,1,1.000,3,21,0,1,2016,3,5,.600,1,2,.500,25,1,6.5,17,0,41.4,3,8,0,0,1
25,+11,1,3,.333,1,21,0,1,2016,4,6,.667,2,2,1.000,26,1,7.8,18,0,53.97,4,11,0,0,1
26,+4,0,2,.000,3,21,0,2,2016,0,3,.000,0,0,,27,1,-4.0,14,0,38.45,4,0,0,3,2
27,-9,2,2,1.000,0,21,0,1,2016,2,2,1.000,0,0,,28,1,1.9,26,0,3.39,2,6,0,3,1
28,+1,0,2,.000,2,21,0,0,2017,1,3,.333,0,0,,29,0,0.5,14,0,46.79,3,2,0,0,0
29,+9,0,2,.000,4,21,0,2,2017,2,4,.500,0,0,,30,0,6.4,16,0,38.55,0,4,2,1,2
30,-4,0,2,.000,1,21,0,0,2017,1,4,.250,0,0,,31,0,-0.9,7,0,72.45,3,2,0,0,0
31,-10,0,1,.000,0,21,0,0,2017,0,1,.000,0,0,,32,0,-1.1,7,0,90.19,1,0,0,0,0
32,+14,1,4,.250,2,21,0,1,2017,3,6,.500,1,1,1.000,33,0,7.3,14,0,41.4,1,8,1,0,1
33,0,0,0,,1,21,0,0,2017,0,0,,2,2,1.000,34,0,1.7,4,0,38.45,0,2,0,1,0
34,-4,1,2,.500,0,21,0,2,2017,1,3,.333,0,0,,35,0,1.5,7,0,62.42,1,3,0,0,2
35,+1,1,4,.250,3,21,0,1,2017,5,12,.417,0,0,,36,0,5.4,21,0,53.44,4,11,1,1,1
36,0,0,1,.000,0,21,0,2,2017,3,5,.600,1,2,.500,37,0,1.7,13,0,24.19,3,7,0,2,2
37,+16,1,2,.500,5,21,0,3,2017,5,7,.714,0,0,,38,0,8.9,23,0,39.71,4,11,1,3,3
38,+3,1,2,.500,0,21,0,0,2017,2,3,.667,0,0,,39,1,-1.1,18,0,53.97,2,5,0,4,0
39,-2,0,2,.000,0,21,0,0,2017,1,4,.250,0,0,,40,0,-1.4,5,0,51.86,0,2,0,1,0
40,+15,0,2,.000,3,21,0,3,2017,4,8,.500,2,2,1.000,41,0,9.2,21,0,48.9,2,10,1,0,3
41,-5,0,0,,1,21,0,2,2017,6,9,.667,0,0,,42,0,8.2,19,0,76.15,3,12,1,1,2
42,+6,1,3,.333,3,21,0,2,2017,3,5,.600,5,5,1.000,43,0,12.3,15,1,62.42,2,12,1,1,3
43,-12,0,1,.000,1,21,1,1,2017,0,1,.000,0,0,,44,0,-2.3,10,1,61.36,0,0,0,4,2
44,-9,0,0,,0,21,0,0,2017,1,4,.250,0,0,,45,0,-1.6,7,0,41.4,3,2,0,0,0
45,-1,2,5,.400,3,21,0,1,2017,6,12,.500,1,3,.333,46,0,9.2,28,0,89.66,1,15,1,2,1
46,-11,1,3,.333,2,21,0,2,2017,2,5,.400,3,3,1.000,47,0,3.3,16,0,74.88,5,8,1,3,2
47,-1,0,2,.000,1,21,0,0,2017,1,5,.200,0,0,,48,0,0.3,13,1,83.75,0,2,0,0,1
48,+3,1,5,.200,2,21,0,3,2017,3,11,.273,1,2,.500,49,1,0.7,25,1,39.71,1,8,0,3,4
49,+1,0,1,.000,1,21,0,1,2017,1,2,.500,3,3,1.000,50,1,1.4,9,0,60.31,4,5,0,2,1
50,+15,1,1,1.000,1,21,0,0,2017,7,8,.875,7,9,.778,51,0,17.0,26,1,41.4,2,22,0,2,1
51,+8,2,2,1.000,2,21,0,3,2017,2,3,.667,2,2,1.000,52,0,8.6,14,0,48.9,1,8,0,0,3
52,+4,1,1,1.000,3,21,0,3,2017,3,4,.750,0,0,,53,0,6.8,22,0,38.55,4,7,1,1,3
53,+2,0,0,,2,21,1,1,2017,1,5,.200,0,0,,54,0,0.6,19,3,71.18,2,2,0,2,4
54,+2,0,1,.000,0,21,0,4,2017,2,5,.400,3,5,.600,55,0,3.7,15,0,36.65,0,7,0,1,4
55,-4,0,0,,0,21,0,1,2017,0,2,.000,0,0,,56,0,-3.5,5,0,55.34,1,0,0,2,1
56,+7,1,1,1.000,1,21,0,0,2017,2,2,1.000,0,0,,57,0,5.1,2,0,48.9,0,5,0,0,0
57,+14,0,0,,2,21,0,2,2017,2,6,.333,0,0,,58,0,2.1,24,1,39.71,3,4,0,0,3
58,+1,0,5,.000,2,21,0,2,2017,0,6,.000,0,0,,59,1,-5.1,22,1,83.75,4,0,0,2,3
59,+6,2,3,.667,2,21,0,3,2017,4,6,.667,0,0,,60,1,8.6,24,1,61.36,2,10,0,1,4
60,+5,1,2,.500,2,21,1,2,2017,3,7,.429,0,0,,61,1,5.1,27,1,0.01,4,7,0,0,3
61,+13,1,3,.333,1,21,0,3,2017,4,7,.571,1,2,.500,62,1,6.7,24,0,76.15,3,10,1,1,3
62,+1,3,4,.750,3,21,0,2,2017,3,5,.600,0,0,,63,1,7.0,23,0,89.66,1,9,0,2,2
63,-9,0,2,.000,3,21,1,1,2017,0,4,.000,1,2,.500,64,1,-2.1,14,0,76.15,0,1,0,3,1
64,+4,1,7,.143,2,21,0,3,2017,3,14,.214,0,0,,65,1,1.2,35,3,3.39,4,7,2,2,6
65,+1,0,1,.000,3,21,0,1,2017,1,2,.500,0,0,,66,0,2.6,16,0,0.01,2,2,1,1,1
66,+3,0,1,.000,2,22,0,3,2018,3,7,.429,4,6,.667,1,0,6.4,14,0,100.01,1,10,0,1,3
67,-15,0,1,.000,2,22,0,0,2018,1,4,.250,0,0,,2,0,0.7,12,1,82.02,0,2,1,2,1
68,+4,0,0,,0,22,0,2,2018,2,4,.500,2,2,1.000,3,0,4.0,16,0,74.31,4,6,2,1,2
69,+2,0,1,.000,3,22,0,0,2018,1,5,.200,0,0,,4,0,0.6,9,0,60.79,1,2,0,0,0
70,+4,0,0,,4,22,0,2,2018,2,2,1.000,0,0,,5,0,4.8,10,0,8.95,0,4,0,2,2
71,+5,1,3,.333,5,22,0,1,2018,5,8,.625,2,2,1.000,6,0,11.2,16,0,43.25,0,13,0,2,1
72,-3,0,0,,1,22,1,0,2018,3,4,.750,2,2,1.000,7,0,7.1,8,1,1.02,1,8,0,1,1
73,+14,3,4,.750,3,22,0,3,2018,8,10,.800,2,2,1.000,8,0,19.4,27,0,81.46,2,21,1,1,3
74,+17,0,0,,5,22,0,3,2018,4,6,.667,6,6,1.000,9,0,15.4,17,0,81.57,1,14,1,1,3
75,-9,0,2,.000,3,22,0,1,2018,3,9,.333,0,1,.000,10,0,2.1,14,0,45.6,2,6,1,1,1
76,+14,1,1,1.000,5,22,2,3,2018,4,9,.444,1,4,.250,11,0,9.4,24,1,72.19,3,10,0,0,4
77,-3,0,2,.000,5,22,0,2,2018,1,4,.250,4,4,1.000,12,0,4.2,23,1,45.6,3,6,1,4,3
78,+9,0,2,.000,2,22,0,1,2018,3,9,.333,0,0,,13,0,0.2,18,0,43.25,1,6,1,3,1
79,-10,0,1,.000,3,22,0,1,2018,2,6,.333,2,2,1.000,14,0,3.6,20,0,26.49,1,6,0,1,1
