Rk,Player,Pos,Age,Tm,G,MP,PTS,PS/G
1,Kareem Abdul-Jabbar*,C,32,LAL,82,3143,2034,24.8
2,Tom Abernethy,PF,25,GSW,67,1222,362,5.4
3,Alvan Adams,C,25,PHO,75,2168,1118,14.9
4,Tiny Archibald*,PG,31,BOS,80,2864,1131,14.1
5,Dennis Awtrey,C,31,CHI,26,560,86,3.3
6,Gus Bailey,SG,28,WSB,20,180,38,1.9
7,James Bailey,PF,22,SEA,67,726,312,4.7
8,Greg Ballard,SF,25,WSB,82,2438,1277,15.6
9,Mike Bantom,SF,28,IND,77,2330,908,11.8
10,Marvin Barnes,PF,27,SDC,20,287,64,3.2
11,Rick Barry*,SF,35,HOU,72,1816,866,12
12,Tim Bassett,PF,28,TOT,12,164,34,2.8
12,Tim Bassett,PF,28,NJN,7,92,24,3.4
12,Tim Bassett,PF,28,SAS,5,72,10,2
13,Billy Ray Bates,SG,23,POR,16,235,180,11.3
14,Ron Behagen,PF,29,WSB,6,64,23,3.8
15,Kent Benson,C,25,TOT,73,1891,698,9.6
15,Kent Benson,C,25,MIL,56,1389,492,8.8
15,Kent Benson,C,25,DET,17,502,206,12.1
16,Del Beshore,PG,23,CHI,68,869,244,3.6
17,Henry Bibby,PG,30,PHI,82,2035,739,9
18,Larry Bird*,PF,23,BOS,82,2955,1745,21.3
19,Otis Birdsong,SG,24,KCK,82,2885,1858,22.7
20,Ron Boone,SG,33,TOT,81,2392,1004,12.4
20,Ron Boone,SG,33,LAL,6,106,34,5.7
20,Ron Boone,SG,33,UTA,75,2286,970,12.9
21,Lawrence Boston,PF,23,WSB,13,125,56,4.3
22,Tom Boswell,PF,26,TOT,79,2077,903,11.4
22,Tom Boswell,PF,26,DEN,18,522,203,11.3
22,Tom Boswell,PF,26,UTA,61,1555,700,11.5
23,Winford Boynes,SG,22,NJN,64,1102,546,8.5
24,Alonzo Bradley,SF,26,HOU,22,96,41,1.9
25,Dudley Bradley,SG,22,IND,82,2027,688,8.4
26,Mike Bratz,PG,24,PHO,82,1589,700,8.5
27,Jim Brewer,PF,28,POR,67,1016,194,2.9
28,Ron Brewer,SG,24,POR,82,2815,1286,15.7
29,Junior Bridgeman,SF,26,MIL,81,2316,1423,17.6
30,Allan Bristow,SF,28,UTA,82,2304,953,11.6
31,Fred Brown,SG,31,SEA,80,1701,960,12
32,John Brown,SF,28,TOT,32,385,112,3.5
32,John Brown,SF,28,UTA,4,24,4,1
32,John Brown,SF,28,ATL,28,361,108,3.9
33,Roger Brown,C,29,CHI,4,37,2,0.5
34,Joe Bryant,PF,25,SDC,81,2328,754,9.3
35,Quinn Buckner,PG,25,MIL,67,1690,719,10.7
36,Tom Burleson,C,27,KCK,37,272,95,2.6
37,Don Buse,PG,29,PHO,81,2499,626,7.7
38,Marty Byrnes,SF,23,LAL,32,194,63,2
39,Corky Calhoun,SF,29,IND,7,30,8,1.1
40,Mack Calvin,PG,32,UTA,48,772,306,6.4
41,Austin Carr,SG,31,CLE,77,1595,909,11.8
42,Kenny Carr,PF,24,TOT,79,1838,929,11.8
42,Kenny Carr,PF,24,LAL,5,57,16,3.2
42,Kenny Carr,PF,24,CLE,74,1781,913,12.3
43,M.L. Carr,SF,29,BOS,82,1994,914,11.1
44,Bob Carrington,SG,26,SDC,10,134,36,3.6
45,Ron Carter,SG,23,IND,13,117,32,2.5
46,Bill Cartwright,C,22,NYK,82,3150,1781,21.7
47,Harvey Catchings,C,28,MIL,72,1366,233,3.2
48,Don Chaney,SG,33,BOS,60,523,167,2.8
49,Maurice Cheeks*,PG,23,PHI,79,2623,898,11.4
50,Phil Chenier,SG,29,TOT,43,850,326,7.6
50,Phil Chenier,SG,29,WSB,20,470,202,10.1
50,Phil Chenier,SG,29,IND,23,380,124,5.4
51,Jim Chones,C,30,LAL,82,2394,869,10.6
52,Jim Cleamons,PG,30,TOT,79,1789,519,6.6
52,Jim Cleamons,PG,30,NYK,22,254,75,3.4
52,Jim Cleamons,PG,30,WSB,57,1535,444,7.8
53,Doug Collins,SG,28,PHI,36,963,495,13.8
54,Jeff Cook,PF,23,PHO,66,904,362,5.5
55,Michael Cooper,SG,23,LAL,82,1973,722,8.8
56,Wayne Cooper,PF,23,GSW,79,1781,871,11
57,Hollis Copeland,SF,24,NYK,75,1142,427,5.7
58,Dave Corzine,C,23,WSB,78,826,225,2.9
59,John Coughran,SF,28,GSW,24,160,68,2.8
60,Dave Cowens*,C,31,BOS,66,2159,940,14.2
61,Charlie Criss,PG,31,ATL,81,1794,671,8.3
62,Terry Crosby,PG,23,KCK,4,28,6,1.5
63,Pat Cummings,C,23,MIL,71,900,468,6.6
64,Bob Dandridge,SF,32,WSB,45,1457,783,17.4
65,Adrian Dantley*,SF,23,UTA,68,2674,1903,28
66,Brad Davis,PG,24,TOT,18,268,83,4.6
66,Brad Davis,PG,24,IND,5,43,7,1.4
66,Brad Davis,PG,24,UTA,13,225,76,5.8
67,Harry Davis,SF,24,SAS,4,30,13,3.3
68,Johnny Davis,PG,24,IND,82,2912,1300,15.9
69,Walter Davis,SF,25,PHO,75,2309,1613,21.5
70,Darryl Dawkins,C,23,PHI,80,2541,1178,14.7
71,Paul Dawkins,SF,22,UTA,57,776,316,5.5
72,Greg Deane,SG,22,UTA,7,48,10,1.4
73,Larry Demic,PF,22,NYK,82,1872,570,7
74,Coby Dietrick,C,31,CHI,79,1830,545,6.9
75,Leon Douglas,C,25,DET,70,1782,567,8.1
76,John Drew,SF,25,ATL,80,2306,1559,19.5
77,Terry Duerod,SG,23,DET,67,1331,624,9.3
78,Mike Dunleavy,PG,25,HOU,51,1036,410,8
79,T.R. Dunn,SG,24,POR,82,1841,564,6.9
80,James Edwards,C,24,IND,82,2314,1287,15.7
81,Bob Elliott,PF,24,NJN,54,722,307,5.7
82,Bo Ellis,PF,25,DEN,48,502,162,3.4
83,Len Elmore,C,27,KCK,58,915,259,4.5
84,Alex English*,SF,26,TOT,78,2401,1318,16.9
84,Alex English*,SF,26,IND,54,1526,806,14.9
84,Alex English*,SF,26,DEN,24,875,512,21.3
